TIMESTAMP,solar_TIMESTAMP,DEU_STE_2P3_Fsy_Jt_1,DEU_STE_2P3_Fsy_Jt_2,DEU_STE_2P3_Fsy_Jt_3,DEU_STE_2P3_Fsy_Jt_4,DEU_STE_2P3_Fsy_Jt_5,DEU_STE_2P3_Fsy_Jt_6,DEU_STE_2P3_Fsy_Jt_7,DEU_STE_2P3_Fsy_Jt_8,DEU_STE_2P3_Fsy_Jt_9,DEU_STE_2P3_Fsy_Jt_10
2001-12-31T23:00:00Z,2001-12-31T23:47:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T00:00:00Z,2002-01-01T00:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T01:00:00Z,2002-01-01T01:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T02:00:00Z,2002-01-01T02:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T03:00:00Z,2002-01-01T03:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T04:00:00Z,2002-01-01T04:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T05:00:00Z,2002-01-01T05:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T06:00:00Z,2002-01-01T06:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T07:00:00Z,2002-01-01T07:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T08:00:00Z,2002-01-01T08:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T09:00:00Z,2002-01-01T09:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T10:00:00Z,2002-01-01T10:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T11:00:00Z,2002-01-01T11:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T12:00:00Z,2002-01-01T12:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T13:00:00Z,2002-01-01T13:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T14:00:00Z,2002-01-01T14:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T15:00:00Z,2002-01-01T15:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T16:00:00Z,2002-01-01T16:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T17:00:00Z,2002-01-01T17:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T18:00:00Z,2002-01-01T18:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T19:00:00Z,2002-01-01T19:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T20:00:00Z,2002-01-01T20:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T21:00:00Z,2002-01-01T21:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T22:00:00Z,2002-01-01T22:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01T23:00:00Z,2002-01-01T23:47:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T00:00:00Z,2002-01-02T00:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T01:00:00Z,2002-01-02T01:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T02:00:00Z,2002-01-02T02:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T03:00:00Z,2002-01-02T03:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T04:00:00Z,2002-01-02T04:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T05:00:00Z,2002-01-02T05:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T06:00:00Z,2002-01-02T06:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T07:00:00Z,2002-01-02T07:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T08:00:00Z,2002-01-02T08:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T09:00:00Z,2002-01-02T09:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T10:00:00Z,2002-01-02T10:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T11:00:00Z,2002-01-02T11:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T12:00:00Z,2002-01-02T12:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T13:00:00Z,2002-01-02T13:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T14:00:00Z,2002-01-02T14:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T15:00:00Z,2002-01-02T15:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T16:00:00Z,2002-01-02T16:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T17:00:00Z,2002-01-02T17:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T18:00:00Z,2002-01-02T18:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T19:00:00Z,2002-01-02T19:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T20:00:00Z,2002-01-02T20:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T21:00:00Z,2002-01-02T21:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T22:00:00Z,2002-01-02T22:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-02T23:00:00Z,2002-01-02T23:47:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T00:00:00Z,2002-01-03T00:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T01:00:00Z,2002-01-03T01:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T02:00:00Z,2002-01-03T02:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T03:00:00Z,2002-01-03T03:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T04:00:00Z,2002-01-03T04:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T05:00:00Z,2002-01-03T05:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T06:00:00Z,2002-01-03T06:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T07:00:00Z,2002-01-03T07:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T08:00:00Z,2002-01-03T08:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T09:00:00Z,2002-01-03T09:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T10:00:00Z,2002-01-03T10:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T11:00:00Z,2002-01-03T11:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T12:00:00Z,2002-01-03T12:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T13:00:00Z,2002-01-03T13:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T14:00:00Z,2002-01-03T14:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T15:00:00Z,2002-01-03T15:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T16:00:00Z,2002-01-03T16:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T17:00:00Z,2002-01-03T17:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T18:00:00Z,2002-01-03T18:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T19:00:00Z,2002-01-03T19:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T20:00:00Z,2002-01-03T20:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T21:00:00Z,2002-01-03T21:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T22:00:00Z,2002-01-03T22:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-03T23:00:00Z,2002-01-03T23:46:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T00:00:00Z,2002-01-04T00:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T01:00:00Z,2002-01-04T01:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T02:00:00Z,2002-01-04T02:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T03:00:00Z,2002-01-04T03:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T04:00:00Z,2002-01-04T04:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T05:00:00Z,2002-01-04T05:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T06:00:00Z,2002-01-04T06:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T07:00:00Z,2002-01-04T07:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T08:00:00Z,2002-01-04T08:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T09:00:00Z,2002-01-04T09:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T10:00:00Z,2002-01-04T10:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T11:00:00Z,2002-01-04T11:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T12:00:00Z,2002-01-04T12:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T13:00:00Z,2002-01-04T13:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T14:00:00Z,2002-01-04T14:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T15:00:00Z,2002-01-04T15:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T16:00:00Z,2002-01-04T16:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T17:00:00Z,2002-01-04T17:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T18:00:00Z,2002-01-04T18:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T19:00:00Z,2002-01-04T19:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T20:00:00Z,2002-01-04T20:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T21:00:00Z,2002-01-04T21:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T22:00:00Z,2002-01-04T22:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-04T23:00:00Z,2002-01-04T23:46:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-05T00:00:00Z,2002-01-05T00:45:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-05T01:00:00Z,2002-01-05T01:45:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-05T02:00:00Z,2002-01-05T02:45:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-05T03:00:00Z,2002-01-05T03:45:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-05T04:00:00Z,2002-01-05T04:45:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
