Model Name,Ta,RH,VPD,PPFD,SWC
k_means_0,0.46908131958407207,-0.34829399671929245,0.4661230265787954,0.5107610257512143,-0.07329319594915155
k_means_1,0.6817506220417751,-0.6846039345330643,0.7060844426007518,0.7151298078567682,-0.0431511291479847
k_means_2,0.41980990583326727,-0.507574964380584,0.5831260756208922,0.5764166078971288,0.12477307683999812
k_means_3,0.6669662607070833,-0.843553964100154,0.8502501824176381,0.7069498236019427,-0.23617542671362537
func_0,0.5976991437386607,-0.3592873915889553,0.5579994345284601,0.5892975826050921,0.10323946447290169
func_1,0.38453488063542846,-0.1842722026888937,0.29716721421492276,0.42483542581003914,0.15607332087818723
func_2,0.5402489931063096,-0.464178261722406,0.6042153061193251,0.6048311919725328,0.003614110618172033
biome_WoodlandShrubland,0.482996901838476,-0.4252990467813439,0.5065371808673338,0.4949069367168891,-0.09470085206778141
biome_Temperate forest,0.47969771195998107,-0.3220193366485397,0.4255375691935925,0.48604677035610094,0.24638626348887419
biome_Tropical rain forest,0.6817506220417751,-0.6846039345330643,0.7060844426007518,0.7151298078567682,-0.0431511291479847
biome_Tropical forest savanna,0.6964655776268176,-0.4149122596152582,0.527674399203766,0.7187214743927353,0.10103441026632903
biome_Subtropical desert,0.1352096600331582,0.03445753556169642,0.053244137068054274,-0.20335288606016572,0.13090757689794305
biome_Boreal forest,0.6065251332037267,-0.4558870508339349,0.5834775200952677,0.6507017031002317,0.022203837744093003
biome_Temperate grassland desert,0.4063118082938039,-0.2881065851017541,0.43419364748707984,0.6812244379649959,0.14912277671847035
All,0.4391337925725726,-0.2009919869074867,0.34152326475189204,0.4551966275586879,0.16738398742215116
